epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.3698,4.0101,4.18323,1.1063,0,0,0,0,4.24958,4.50817,2.1979,0.000324561,0.000324561,0.0678684
2,186.694,3.76005,2.46401,1.02195,0.012,0.1441,0.02399,0.00599,3.80574,3.80314,1.82379,0.000592763,0.000592763,0.0348033
3,276.111,3.61505,2.2457,1.00563,0.27495,0.05319,0.03396,0.00913,3.66398,3.66072,1.87097,0.000794965,0.000794965,0.00167216
4,398.622,3.65824,2.20784,0.96242,0.18539,0.0619,0.02564,0.00626,3.62988,3.76595,1.72984,0.000703,0.000703,0.000703
5,516.887,3.38984,2.05474,0.9483,0.28557,0.0619,0.04255,0.01129,3.47746,3.75443,1.70502,0.000604,0.000604,0.000604
6,611.132,3.32976,2.00283,0.92631,0.25519,0.10445,0.06318,0.01415,3.40455,3.64333,1.68064,0.000505,0.000505,0.000505
7,686.624,3.33598,1.9632,0.93603,0.25262,0.10832,0.06639,0.0179,3.42819,3.60337,1.72098,0.000406,0.000406,0.000406
8,777.767,3.29647,1.86044,0.92448,0.22054,0.12089,0.06564,0.01695,3.47239,3.5843,1.7983,0.000307,0.000307,0.000307
9,889.346,3.29414,1.87058,0.92628,0.25822,0.11412,0.07411,0.0201,3.46477,3.56304,1.831,0.000208,0.000208,0.000208
10,993.648,3.31749,1.86454,0.90275,0.26324,0.12282,0.0715,0.01896,3.44611,3.61404,1.81864,0.000109,0.000109,0.000109
